source_file,source_filename,processor,service_type,company_account,merchant_account,psp_reference,payment_method,record_date,dispute_date,dispute_date_timezone,dispute_end_date,dispute_end_date_timezone,dispute_amount,dispute_currency,dispute_amount_usd,fx_rate_used,scheme_code,reason_code,record_type,dispute_psp_reference,dispute_reason,risk_scoring,payment_date,payment_date_timezone,payment_amount,shopper_interaction,shopper_country,iban,bic,issuer_country,issuer_id,3d_directory_response,3d_authentication_response,cvc2_response,avs_response,dispute_auto_defended
Adyen/TenMexMerEcom/dispute_report_2024_11_02.csv,dispute_report_2024_11_02.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUKMoto,S2WDR864BLSZ9ZX3,mc,2024-11-02,2024-11-02 19:11:13,GMT,2025-04-18 10:27:08,BST,204.5,USD,204.5,1.0,mc,6,NotificationOfFraud,SS64HFC8ZQ69T8X3,Card Not Present Fraud,0,2024-10-18 10:27:08,BST,204.5,Moto,ZA,,,GB,545140,,,1,0,False
Adyen/TenMexMerEcom/dispute_report_2024_04_22.csv,dispute_report_2024_04_22.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUK1_USD,WNXZKBLS4LN95B53,mc,2024-04-22,2024-04-22 02:01:33,BST,2024-06-01 02:01:33,BST,106.56,GBP,133.35,0.7991,mc,4837,NotificationOfChargeback,PMF2TKVL73CCH4G2,No Cardholder Authorisation,75,2024-02-01 11:15:14,GMT,145.36,Ecommerce,SG,,,CA,523465,,,1,2,False
Adyen/TenMexMerEcom/dispute_report_2024_04_22.csv,dispute_report_2024_04_22.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUK1_USD,NN72HQXHT3MGX632,mc,2024-04-22,2024-04-22 02:01:34,BST,2024-06-01 02:01:34,BST,63.94,JPY,0.45,143.35,mc,4837,NotificationOfChargeback,MNF2TKVL73CCH4G2,No Cardholder Authorisation,55,2024-02-01 11:08:39,GMT,87.22,Ecommerce,SG,,,CA,523465,,,1,2,False
Adyen/TenMexMerEcom/dispute_report_2024_04_22.csv,dispute_report_2024_04_22.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUK1_USD,C26M82RBFGDNQPB2,mc,2024-04-22,2024-04-22 02:01:35,BST,2024-06-01 02:01:35,BST,294.66,USD,294.66,1.0,mc,4837,NotificationOfChargeback,BVGXMTHDNM5DP4G2,No Cardholder Authorisation,40,2024-02-01 01:29:57,GMT,401.96,Ecommerce,SG,,,CA,523465,,,1,2,False
Adyen/TenMexMerEcom/dispute_report_2024_04_22.csv,dispute_report_2024_04_22.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUK1_USD,FJQ58V4W43PH2C52,mc,2024-04-22,2024-04-22 02:01:35,BST,2024-06-01 02:01:35,BST,104.15,EUR,115.53,0.9015,mc,4837,NotificationOfChargeback,WNF2TKVL73CCH4G2,No Cardholder Authorisation,70,2024-02-01 10:24:26,GMT,142.08,Ecommerce,SG,,,CA,523465,,,1,2,False
Adyen/TenMexMerEcom/dispute_report_2024_04_22.csv,dispute_report_2024_04_22.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUK1_USD,GBJRDPQHQS87H953,mc,2024-04-22,2024-04-22 02:01:35,BST,2024-06-01 02:01:35,BST,59.43,EUR,65.92,0.9015,mc,4837,NotificationOfChargeback,FMF2TKVL73CCH4G2,No Cardholder Authorisation,95,2024-02-01 11:28:05,GMT,81.07,Ecommerce,SG,,,CA,523465,,,1,2,False
Adyen/TenMexMerEcom/dispute_report_2024_04_22.csv,dispute_report_2024_04_22.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUK1_USD,X57NZ7HMFGDNQPB2,mc,2024-04-22,2024-04-22 02:01:36,BST,2024-06-01 02:01:36,BST,91.73,USD,91.73,1.0,mc,4837,NotificationOfChargeback,R4HXMTHDNM5DP4G2,No Cardholder Authorisation,40,2024-02-10 18:59:30,GMT,91.73,Ecommerce,SG,,,CA,529918,,,1,2,False
Adyen/TenMexMerEcom/dispute_report_2024_04_22.csv,dispute_report_2024_04_22.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUK1_USD,HVM9VZW7BPBHMC53,mc,2024-04-22,2024-04-22 02:01:36,BST,2024-06-01 02:01:36,BST,72.99,JPY,0.51,143.35,mc,4837,NotificationOfChargeback,ZKF2TKVL73CCH4G2,No Cardholder Authorisation,95,2024-02-01 11:57:22,GMT,99.57,Ecommerce,SG,,,CA,523465,,,1,2,False
Adyen/TenMexMerEcom/dispute_report_2024_04_22.csv,dispute_report_2024_04_22.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUK1_USD,DPVHNZVS89PDPK52,mc,2024-04-22,2024-04-22 02:01:37,BST,2024-06-01 02:01:37,BST,123.29,GBP,154.29,0.7991,mc,4837,NotificationOfChargeback,KLF2TKVL73CCH4G2,No Cardholder Authorisation,40,2024-02-01 01:17:32,GMT,168.18,Ecommerce,SG,,,CA,523465,,,1,2,False
Adyen/TenMexMerEcom/dispute_report_2024_04_22.csv,dispute_report_2024_04_22.csv,Adyen,TenMexMerEcom,TenLifManLim,TenUK1_USD,R8F49W2B9QNTF232,mc,2024-04-22,2024-04-22 02:01:38,BST,2024-06-01 02:01:38,BST,59.43,EUR,65.92,0.9015,mc,4837,NotificationOfChargeback,TLF2TKVL73CCH4G2,No Cardholder Authorisation,95,2024-02-01 12:08:01,GMT,81.07,Ecommerce,SG,,,CA,523465,,,1,2,False
